DrugBank ID,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed,Molecular_weight,LogP
0,506.8312696,13.49963552,9.032488305,9.032488305,8.374245891,5.044753463,5.044753463,3.871087893,3.871087893,2.663557922,2.663557922,1.722861648,1.722861648,36.65498848,18.68189467,0,5.817862778,4.567099648,12.26321064,0,0,0,4.983978521,15.57705783,263.0717623,1.611111111,2.277777778,2.777777778,0.555555556,-1.58,18,252.112,12.86606079,4.264616605,1.854653254,99.43404632,13.70087207,0.393564363,13.70087207,0.351313799,0.114055624,0.351313799,-3.713275227,-0.393564363,-1.2886,54.859,263.2,4,7,0,1,1,0,1,1,7,3,9,0,2,0,1,1,100,20.68358522,11.92182917,6.103966388,6.227901171,0,11.61227257,4.567099648,4.794537184,13.76480862,0,0,6.066367068,6.196843572,6.606881965,2,23.73074784,5.817862778,0,9.551078169,0,24.35836311,12.34054944,22.74749122,0,0,11.42341088,14.59869287,0,0,44.50147687,4.736862954,0,6.227901171,17.05774782,0,0,0,110.6,32.70181784,0,14.71819822,18.1038776,4.209688996,-3.827330851,1.152275132,-4.687900132,-0.787293478,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612087373,263.2,-1.2886
1,312.833941,6.853371151,4.271811323,4.271811323,4.198377303,2.174580796,2.174580796,1.419861056,1.419861056,0.773964207,0.773964207,0.39336191,0.39336191,17.06623113,13.97948942,0,0,6.196843572,0,0,4.983978521,4.983978521,0,0,130.0178556,1.444444444,2.111111111,2.555555556,0,-1.39,9,127.054,5.741406045,1.847976372,1.042170728,48.35927868,11.98481481,0.325347136,11.98481481,0.325347136,0.707037037,0.311155703,-1.001157407,-0.311155703,-0.7977,27.6414,130.078,2,4,0,0,0,0,1,1,2,2,5,0,0,0,0,0,48,4.983978521,0,0,5.817220841,5.559266895,5.689743398,9.778515705,4.794537184,4.390415048,0,0,0,6.196843572,0,1,4.390415048,0,0,9.967957042,0,0,0,32.85214907,0,0,11.24901029,4.390415048,0,0,9.967957042,0,5.817220841,0,15.78591794,0,0,0,65.72,11.98481481,0,24.005,0,-1.708194444,-0.991111111,0,0.709490741,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482564503,130.078,-0.7977
2,667.157046,18.56011345,14.01499049,14.01499049,11.84544301,8.088182465,8.088182465,5.80826683,5.80826683,3.859745069,3.859745069,2.422295717,2.422295717,47.95786742,24.19254421,0,6.606881965,6.420821623,23.60558647,6.9237372,0,6.9237372,10.30076712,9.473725908,359.1492636,1.44,2.16,2.76,0.666666667,-2.04,25,337.178,19.28692217,8.365261646,4.527287161,142.9432024,14.1160022,0.449281696,14.1160022,0.412382943,0.176826811,0.412382943,-1.406259159,-0.449281696,0.7602,84.5483,359.354,3,9,0,1,1,0,1,1,8,3,10,0,6,0,1,1,140,19.6867807,12.20793278,17.86298479,0,0,11.78298347,9.883888252,13.97948942,4.983978521,0,19.76538045,13.34455882,0,18.90769192,2,28.87173293,11.91110285,0,9.551078169,0,57.6497396,11.92367057,22.49834499,0,0,11.006532,15.00281501,0,0,50.77615416,9.473725908,5.817220841,39.33784044,10.99138076,0,0,0,122.91,24.94646985,0,27.04478806,21.61291851,-0.950895384,-1.585392364,0,-2.250954465,3.683065795,0,0,2,2,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.640839152,359.354,0.7602
3,822.0399999,19.81119031,15.00802983,15.00802983,12.92225395,8.084748487,8.084748487,5.638641501,5.638641501,3.679371065,3.679371065,2.263683902,2.263683902,0,19.80212916,0,29.48633518,22.62592665,0,38.50436943,36.41750849,0,0,9.473725908,368.1259884,0.814814815,1.222222222,1.592592593,0.142857143,-3.54,27,348.225,19.78037889,9.238837191,5.743402512,156.5323725,11.92939826,0.504254344,11.92939826,0.162918644,0.006622874,0.162918644,-0.347242116,-0.504254344,3.3699,102.0166,368.385,2,6,0,0,0,2,0,2,6,2,6,0,8,0,0,0,140,19.6867807,0,34.56453723,0,0,0,9.589074368,0,0,0,24.28477435,47.54441147,0,20.64041671,2,29.27585507,23.71853011,0,0,0,6.420821623,14.21959508,59.67714561,0,22.99804733,9.473725908,0,22.99804733,0,35.99913976,9.589074368,0,17.54772461,48.55024262,0,12.15204021,0,93.06,9.996386541,0,23.85879652,19.08487399,1.328109906,-0.083211308,9.340097176,5.442434021,0,2.865846493,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548122832,368.385,3.3699
4,462.1897022,12.57698579,8.801123224,8.801123224,8.040912558,5.014304277,5.014304277,3.771107925,3.771107925,2.642834144,2.642834144,1.72937357,1.72937357,36.8364257,15.00759197,0,5.817862778,0,4.567099648,12.26321064,0,0,4.983978521,15.57705783,243.0855205,1.470588235,2.176470588,2.705882353,0.555555556,-1.48,17,230.115,11.98960468,4.414475063,2.025663274,95.89720927,11.51087065,0.393566854,11.51087065,0.351212694,0.053697589,0.351212694,-1.309931028,-0.393566854,-2.563,55.9188,243.219,5,8,0,1,1,0,1,1,8,4,8,0,2,0,1,1,94,25.79011262,24.12976194,6.227901171,0,0,5.689743398,4.567099648,4.794537184,4.983978521,0,0,6.066367068,6.196843572,6.606881965,2,20.05644514,5.817862778,0,9.551078169,0,24.53980033,12.34054944,22.74749122,0,0,11.42341088,5.817862778,0,0,49.78944148,4.736862954,0,6.227901171,17.05774782,0,0,0,130.83,6.187805178,0,14.98930933,28.15370187,4.629863316,0.053697589,1.371164021,-3.266372827,-0.452501811,0,0,3,3,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448930489,243.219,-2.563
5,1376.518741,28.38602239,21.21013727,21.21013727,18.42777712,12.41180174,12.41180174,10.15993306,10.15993306,7.805280423,7.805280423,5.750258573,5.750258573,95.66900423,39.91624853,0,34.42413942,0,0,25.30889875,6.9237372,0,0,19.94425634,543.1740607,1.153846154,1.846153846,2.487179487,0.444444444,-3.39,39,514.293,27.18726294,9.662462759,4.111772825,222.081397,13.64305706,0.506847955,13.64305706,0.201631281,0.017252414,0.201631281,-2.240737143,-0.506847955,0.0013,131.7544,543.525,7,12,2,1,3,2,0,2,12,6,12,0,5,0,1,1,208,45.47689331,29.45646828,17.85651662,5.783244946,0,0,14.38361155,0,0,0,12.13273414,12.99010427,41.99466017,42.11205118,5,54.12683739,17.34973484,0,0,5.733667477,62.4310196,13.71667951,51.57981016,0,17.2485355,10.47053043,0,17.2485355,0,86.73990246,20.68908471,0,68.83913015,18.19910121,0,0,0,206.07,16.99221991,0,39.73908207,53.69213165,2.373741685,-3.774704748,3.63515612,-5.122799848,0.559654649,1.322185169,0,3,2,0,0,0,0,2,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235262582,543.525,0.0013
6,827.562288,16.56011345,12.67354988,12.67354988,11.02407581,7.45238567,7.45238567,5.365082055,5.365082055,3.971247419,3.971247419,2.768278604,2.768278604,17.21531652,13.97948942,0,16.76753848,25.28144644,19.15587988,6.196843572,4.567099648,11.82364693,10.30076712,5.106527395,320.1284686,1.434782609,2.130434783,2.739130435,0.4,-2.48,23,303.188,15.41701201,5.958730698,2.653353739,130.903608,14.43240882,0.477497013,14.43240882,0.340724893,0.010986631,0.340724893,-1.328065193,-0.477497013,0.6633,83.677,320.324,2,7,0,1,1,0,2,2,6,2,8,0,3,0,1,1,122,19.89032538,11.21062871,11.63508362,5.428790392,0,5.969305288,4.794537184,14.16893075,0,0,0,12.99010427,38.9206256,5.386224214,3,14.29147963,22.8205695,0,14.86786677,0,13.46849361,31.07893535,33.86721055,0,0,15.64548873,10.20827783,0,0,46.80593648,6.544756406,5.817220841,17.28172588,17.05774782,0,11.03340144,0,87.46,15.99324523,0,29.58752206,12.29952006,-0.788550013,-1.739762567,1.097851474,1.26333727,4.953503156,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.863919065,320.324,0.6633
7,1376.518741,28.38602239,21.21013727,21.21013727,18.42777712,12.41180174,12.41180174,10.15993306,10.15993306,7.805280423,7.805280423,5.750258573,5.750258573,95.66900423,39.91624853,0,34.42413942,0,0,25.30889875,6.9237372,0,0,19.94425634,543.1740607,1.153846154,1.846153846,2.487179487,0.444444444,-3.39,39,514.293,27.18726294,9.662462759,4.111772825,222.081397,13.64305706,0.506847955,13.64305706,0.201631281,0.017252414,0.201631281,-2.240737143,-0.506847955,0.0013,131.7544,543.525,7,12,2,1,3,2,0,2,12,6,12,0,5,0,1,1,208,45.47689331,29.45646828,17.85651662,5.783244946,0,0,14.38361155,0,0,0,12.13273414,12.99010427,41.99466017,42.11205118,5,54.12683739,17.34973484,0,0,5.733667477,62.4310196,13.71667951,51.57981016,0,17.2485355,10.47053043,0,17.2485355,0,86.73990246,20.68908471,0,68.83913015,18.19910121,0,0,0,206.07,16.99221991,0,39.73908207,53.69213165,2.373741685,-3.774704748,3.63515612,-5.122799848,0.559654649,1.322185169,0,3,2,0,0,0,0,2,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235262582,543.525,0.0013
8,538.2198018,13.90541292,12.17851976,12.17851976,9.593172146,8.092631573,8.092631573,7.436274352,7.436274352,6.660103852,6.660103852,5.54120448,5.54120448,0,10.21305479,0,11.51895686,17.58532393,25.18037091,30.38936785,0,12.13273414,12.99010427,0,272.17763,1.15,2,2.85,0.666666667,-1.02,20,248.196,12.7004821,4.236677915,1.604791759,120.3816825,10.37248662,0.507956032,10.37248662,0.115370618,0.08827339,0.115370618,-0.08827339,-0.507956032,3.6092,78.7306,272.388,2,2,3,0,3,1,0,1,2,2,2,0,0,2,0,2,108,10.21305479,5.749511833,0,0,0,0,0,0,0,0,12.99010427,84.95327547,0,6.103966388,4,10.21305479,0,0,0,17.25080256,57.47053937,0,29.32600419,0,5.749511833,0,0,5.749511833,0,16.31702118,6.420821623,17.25080256,56.07265434,18.19910121,0,0,0,40.46,0,0,0,20.04967333,2.99181709,2.488895647,5.955254315,6.780339821,2.317353133,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757169744,272.388,3.6092
9,1352.53256,29.28336361,23.1283478,23.1283478,20.2824273,13.77714419,13.77714419,10.98822167,10.98822167,8.745948151,8.745948151,6.735400781,6.735400781,66.82290882,20.11411937,0,37.25524173,28.18937814,0,14.21959508,31.18920547,0,0,42.63176658,588.1842911,0.880952381,1.571428571,2.261904762,0.551724138,-3.33,42,556.306,27.50005152,10.43580172,4.258657173,240.2294879,13.38511409,0.501699479,13.38511409,0.309940386,0.030064203,0.309940386,-1.436270499,-0.501699479,1.3386,138.3454,588.562,3,13,1,4,5,2,0,2,13,3,13,0,5,0,3,3,226,57.95134877,24.41586555,35.57810079,12.54245414,0,5.969305288,4.794537184,0,0,0,0,47.87955995,11.83581209,39.45523145,7,62.74588595,5.969305288,0,0,11.83581209,55.94152864,34.22630132,40.95582275,0,28.74755917,18.94745182,0,28.74755917,0,92.5111078,28.47885195,11.83581209,35.63596411,24.26546827,0,0,0,160.83,51.5261915,0,13.38511409,32.515427,2.01367567,-1.024854437,6.926914061,-6.797222421,1.928629032,2.859458848,0,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429829258,588.562,1.3386
10,2,2,1.115355072,1.115355072,1,0.288675135,0.288675135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7890761,0,4.794537184,30.01056468,1.5,1.5,1.5,0,-0.33,2,28.01,1.67,0.67,-5.36030303,12.90077313,8,0.307097026,8,0.106382254,2,0.106382254,2,-0.307097026,-0.1849,7.121,30.026,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,4.794537184,6.7890761,0,0,0,0,0,0,0,0,0,0,0,0,0,4.794537184,6.7890761,0,0,0,0,0,0,0,0,0,0,0,0,6.7890761,4.794537184,0,0,0,0,0,0,17.07,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360624458,30.026,-0.1849
11,620.2382291,16.65648977,13.92634756,14.68227651,11.13456025,8.277121803,8.655086276,5.865465663,6.301901444,4.081594677,4.316691779,2.77526967,2.941613225,0,0,0,6.606881965,11.06447414,49.06622367,0,0,30.46231185,29.04815126,16.70746729,335.1764401,1.304347826,2.130434783,2.869565217,0.5,-1.36,23,309.671,17.98555307,9.06225464,5.341836349,143.0243905,9.021901773,0.395044572,9.021901773,0.073705035,0.229372852,0.073705035,0.229372852,-0.395044572,3.783,98.2715,335.879,2,4,0,0,0,1,1,2,4,2,5,0,9,0,0,0,126,15.32322573,0,0,0,0,0,4.983978521,0,0,0,18.52467709,57.12036153,34.87968461,12.12358268,2,5.106527395,28.1912511,0,9.883888252,0,32.73095847,31.55793979,35.48494516,0,0,5.316788604,5.687386275,0,11.60093989,47.27340766,0,0,26.68911765,30.46231185,5.022633314,10.90292493,0,48.39,0,6.031460883,6.646461166,14.40266224,2.010811507,0,8.191121801,4.003935507,7.324658008,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.731780104,335.879,3.783
12,1350.556265,25.61430893,21.18540367,21.18540367,18.03000978,12.4568735,12.4568735,9.392360223,9.392360223,6.572995264,6.572995264,4.277829725,4.277829725,0,4.794537184,0,5.907179729,17.19917705,55.23199928,5.563451492,18.59053071,67.58740788,42.43300422,0,493.2590086,0.972972973,1.783783784,2.540540541,0.24137931,-4.14,37,462.367,24.54982724,11.28164917,6.354664605,216.9562492,12.92950725,0.323844002,12.92950725,0.255159162,0.142800625,0.255159162,-0.142800625,-0.323844002,4.59032,146.8939,493.615,2,8,0,1,1,2,2,4,7,2,8,0,7,0,1,1,188,15.53348694,0,0,5.948339281,5.907179729,0,14.67842544,9.967957042,0,0,18.19910121,67.56288164,73.81598828,5.693927995,5,4.794537184,23.23029156,0,24.75175502,0,13.46849361,43.86027481,95.94455587,0,11.25737949,10.63357721,17.32311183,0,0,63.88563236,6.544756406,6.9237372,21.48489166,79.2542014,0,11.25737949,0,86.28,0,0,30.864657,6.293713638,6.081945305,0.333003824,19.31483792,5.216715026,7.235456886,2.159670399,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.389416163,493.615,4.59032
13,131.8934211,7.439157589,5.549127729,5.549127729,4.03658126,2.392597853,2.392597853,1.754702944,1.754702944,0.658607942,0.658607942,0.222284749,0.222284749,0,0,0,11.91910914,0,0,4.899909731,14.09534397,0,4.992404733,16.87661856,129.1014454,1.444444444,1.888888889,2,0.5,-1.26,9,118.079,7.74,2.907105656,3.33347181,53.85436592,7.052222222,0.369752301,7.052222222,0.219974319,0.050925926,0.219974319,-0.089166667,-0.369752301,-1.24383,37.2235,129.167,5,5,0,0,0,0,0,0,1,3,5,0,0,0,0,0,52,16.36724469,0,5.959554569,5.959554569,0,0,5.409283606,0,4.992404733,0,0,0,14.09534397,0,0,0,11.91910914,5.409283606,4.899909731,16.45973969,0,14.09534397,0,0,0,11.46733495,0,0,0,30.91436283,0,5.409283606,0,4.992404733,0,0,0,91.49,0,0,4.958055556,7.052222222,9.982777778,-0.038240741,0,0,0,3.378518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281873777,129.167,-1.24383
14,1145.776297,19.76722023,14.01506508,15.58749061,12.73118259,7.890175212,9.920404911,5.78603979,8.064343758,3.798836198,5.482158357,2.627162961,3.917295212,38.69181555,21.99316426,0,16.33893841,17.45422306,12.13273414,18.46005421,6.9237372,4.722094864,9.967957042,11.60093989,413.0412464,1.333333333,2.074074074,2.777777778,0.176470588,-2.52,27,399.721,19.24738073,7.241185927,3.787772176,158.1652359,14.7860448,0.345389271,14.7860448,0.232305136,0.035772838,0.232305136,-3.813967192,-0.345389271,3.8772,98.5947,413.833,2,6,0,0,0,1,2,3,4,2,10,0,6,0,0,0,142,4.983978521,11.46439806,5.817220841,15.8065361,0,0,9.516632049,22.1826056,0,0,18.52467709,24.61992283,23.34336285,22.02632469,3,21.99316426,44.1282637,0,9.967957042,0,13.34455882,10.47494847,58.37676633,0,0,4.722094864,14.46821637,0,11.60093989,29.92185258,10.02329115,11.63444168,29.26599899,30.59278835,5.022633314,11.03340144,0,91.92,54.81745816,5.875823357,19.48732334,0.542997237,-1.077307887,-3.596443989,3.208067504,2.939597595,1.644229654,-3.813967192,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.599743859,413.833,3.8772
15,2280.34627,44.94021786,35.23274852,35.23274852,29.27228993,20.47284996,20.47284996,17.3540403,17.3540403,13.47985515,13.47985515,10.18254051,10.18254051,112.6040952,39.2922681,4.794537184,35.30081563,5.563451492,13.8474744,25.98020854,92.71024629,0,5.316788604,23.68431477,853.3309553,0.822580645,1.403225806,1.951612903,0.446808511,-5.74,62,802.51,44.32035765,16.51284551,7.294407711,357.8854074,15.48379502,0.455736924,15.48379502,0.338014233,0.002885344,0.338014233,-2.390958147,-0.455736924,3.7357,217.6901,853.918,4,15,3,1,4,3,0,3,14,4,15,0,10,2,1,3,328,44.32068556,23.91294997,23.59222853,0,5.907179729,23.87722115,19.17814874,9.589074368,0,0,80.57751215,54.82260323,37.66755961,35.64903719,7,67.77112006,35.56764583,0,5.316788604,16.74788698,108.2518072,6.606881965,118.8320696,0,0,5.316788604,0,0,0,105.3200099,42.86246351,16.74788698,86.70533612,102.1417151,0,0,0,221.29,30.27238288,0,83.45331185,40.23395243,-7.019085033,-6.841158828,22.93771164,-10.51155687,7.974441939,0,0,3,2,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5,0,0,0,4,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129786194,853.918,3.7357
16,764.3631263,18.90541292,15.32591436,15.32591436,12.17050462,9.507196476,9.507196476,9.015459919,9.015459919,8.013830305,8.013830305,6.622466056,6.622466056,28.82115866,24.59666634,0,35.74102965,12.84164325,18.41474778,0,12.15204021,19.92349451,0,0,358.1780239,1.269230769,2,2.692307692,0.666666667,-1.59,26,332.226,17.80543285,5.458357665,2.014452934,152.7085964,13.28574121,0.388464101,13.28574121,0.189641824,0.020550214,0.189641824,-1.622581438,-0.388464101,1.7658,94.0486,358.434,2,5,4,0,4,0,0,0,5,2,5,0,2,3,0,3,140,10.21305479,17.99117772,11.56648989,0,0,0,14.38361155,0,0,0,25.49659904,49.6711388,23.16870861,0,4,24.59666634,17.34973484,0,0,28.58369908,51.55263332,6.606881965,23.80116485,0,0,0,0,0,0,39.7707224,14.38361155,28.58369908,45.95158251,23.80116485,0,0,0,91.67,0,0,37.39263463,20.46254278,-1.862186726,-0.590174979,0,7.823372283,3.19047868,0,0,2,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78483328,358.434,1.7658
17,566.5146644,16.75071238,14.44088384,14.44088384,10.22005124,7.866888532,7.866888532,6.761167951,6.761167951,4.124738346,4.124738346,2.875233638,2.875233638,5.969305288,4.794537184,0,5.414990469,0,11.14620906,36.48469404,12.99975731,12.15204021,39.84698901,5.106527395,300.2089301,1.181818182,1.863636364,2.454545455,0.45,-1.83,22,272.218,18.21957858,7.975506504,5.884978727,134.1750607,10.53400527,0.478066745,10.53400527,0.328068806,0.259688494,0.328068806,-0.912324396,-0.478066745,5.6026,93.7618,300.442,1,2,1,0,1,0,0,0,1,1,2,0,5,0,0,0,120,5.106527395,0,0,0,0,5.969305288,0,4.794537184,0,0,55.37378399,56.594876,6.076020107,0,1,9.901064579,5.969305288,0,0,5.414990469,53.88115087,0,58.74853876,0,0,0,0,0,0,11.07583268,4.794537184,5.414990469,53.88115087,58.74853876,0,0,0,37.3,0,0,10.53400527,8.652828444,5.094925468,-0.912324396,0,15.01208929,10.70180926,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529573196,300.442,5.6026
